17:26:03.923 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.923 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:å
17:26:03.923 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¢
17:26:03.923 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.923 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:

17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:j
17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:a
17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:h
17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:l
17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:a
17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:k
17:26:03.924 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:d
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:i
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:u
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:i
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:w
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:r
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:a
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:s
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:@
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:3
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:2
17:26:03.925 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:*
17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¼
17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:&
